Protein_ID,Type,Tm,pLDDT,Status
P00350,meso,57.82613507,98.04,High quality
P00363,meso,46.76964303,95.91,High quality
P00370,meso,58.77659355,95.78,High quality
P00448,thermo,66.59469534,98.3,High quality
P00452,meso,44.79474401,93.32,High quality
P00490,meso,47.89375165,98.18,High quality
P00509,thermo,62.26051808,97.44,High quality
P00550,meso,57.50786025,82.29,High quality
P00561,meso,47.98787485,90.68,High quality
P00562,meso,43.77423137,90.89,High quality
P00579,meso,42.56101383,83.21,High quality
P00582,meso,47.18299765,91.31,High quality
P00634,meso,56.2954914,96.02,High quality
P00805,meso,59.06899042,94.75,High quality
P00861,meso,45.96716502,95.3,High quality
P00864,meso,51.47284773,91.86,High quality
P00895,meso,46.4923241,94.84,High quality
P00903,meso,51.12989839,97.44,High quality
P00909,meso,44.7093511,96.15,High quality
P00934,meso,48.48454425,96.04,High quality
P00935,meso,49.79357824,97.21,High quality
P00946,meso,49.09545876,97.83,High quality
P00954,meso,44.62947249,95.04,High quality
P00956,meso,55.93589076,93.88,High quality
P00957,meso,56.82230124,90.7,High quality
P00959,meso,44.01156467,94.66,High quality
P00961,meso,46.18483288,94.89,High quality
P00962,meso,46.97704864,94.81,High quality
P00968,meso,56.97805525,95.33,High quality
P02358,thermo,64.19271108,91.05,High quality
P02359,meso,58.02967443,86.71,High quality
P02413,thermo,67.36700665,93.3,High quality
P02918,thermo,61.17673028,90.37,High quality
P02925,thermo,60.4724159,94.52,High quality
P03813,meso,58.19655182,97.21,High quality
P03817,meso,44.80614773,85.07,High quality
P04036,thermo,67.66391998,95.77,High quality
P04079,meso,57.13382361,90.71,High quality
P04335,meso,44.54025064,94.21,High quality
P04391,thermo,65.8075982,96.13,High quality
P04425,meso,46.75427713,95.49,High quality
P04805,meso,58.90555685,94.71,High quality
P04816,thermo,60.18403756,94.83,High quality
P04825,meso,51.57863022,96.6,High quality
P04846,meso,45.57443637,91.31,High quality
P04949,meso,43.60898326,87.94,High quality
P04951,meso,54.50560134,95.87,High quality
P05020,meso,46.95748677,96.99,High quality
P05042,meso,49.14887637,96.86,High quality
P05055,meso,58.67426395,92.23,High quality
P05194,meso,55.88567819,97.78,High quality
P05458,meso,49.51524083,93.5,High quality
P05459,meso,50.35060599,96.89,High quality
P05791,meso,55.53545593,96.02,High quality
P05793,meso,50.85921201,95.82,High quality
P06149,meso,49.21509499,93.34,High quality
P06612,meso,56.54316129,90.22,High quality
P06715,thermo,67.22402987,98.32,High quality
P06720,meso,49.06015323,95.93,High quality
P06721,meso,49.37375669,98.27,High quality
P06959,meso,58.43919164,76.99,High quality
P06960,thermo,66.29409182,96.24,High quality
P06968,thermo,68.85660882,97.61,High quality
P06986,meso,46.93308529,96.24,High quality
P06987,thermo,64.33615221,94.99,High quality
P06996,meso,43.4902982,93.47,High quality
P06999,meso,48.41986688,95.8,High quality
P07003,meso,52.49825854,94.75,High quality
P07004,thermo,63.84419085,95.74,High quality
P07012,meso,43.41635279,86.22,High quality
P07014,meso,56.23503429,96.5,High quality
P07024,thermo,61.61167644,94.49,High quality
P07102,meso,55.57078663,95.63,High quality
P07118,meso,49.82887522,93.62,High quality
P07395,meso,49.25070012,94.73,High quality
P07604,meso,58.5246505,86.99,High quality
P07623,meso,45.6942462,92.56,High quality
P07648,meso,55.54104004,91.56,High quality
P07650,meso,46.14616816,96.62,High quality
P07762,meso,50.52238268,95.95,High quality
P07813,meso,48.50669815,93.51,High quality
P07862,meso,58.0490426,94.87,High quality
P07913,meso,49.95217605,97.42,High quality
P08179,meso,43.5321538,97.01,High quality
P08192,meso,48.74042704,95.77,High quality
P08200,meso,50.85999236,97.49,High quality
P08244,meso,55.34998758,93.1,High quality
P08312,meso,43.34211348,94.12,High quality
P08331,meso,58.67628229,93.94,High quality
P08337,meso,58.41312784,92.47,High quality
P08506,meso,50.8931407,92.18,High quality
P08839,meso,47.95502824,89.89,High quality
P08997,meso,54.57089578,96.34,High quality
P09029,meso,56.30803658,97.64,High quality
P09030,meso,42.59182161,96.45,High quality
P09147,meso,45.03328331,97.47,High quality
P09148,meso,41.47145187,96.56,High quality
P09151,meso,50.43056056,91.29,High quality
P09158,meso,50.78704421,94.67,High quality
P09323,meso,51.37254364,86.89,High quality
P09372,meso,43.9528781,84.34,High quality
P09373,meso,51.34938527,97.71,High quality
P09394,meso,55.93727344,93.81,High quality
P09424,meso,50.3138526,97.23,High quality
P09551,meso,53.34050382,94.19,High quality
P09831,meso,58.24655566,93.88,High quality
P09832,meso,58.46335293,95.26,High quality
P0A698,meso,53.52292286,90.31,High quality
P0A6A3,meso,41.60227949,96.81,High quality
P0A6A8,meso,43.18424023,91.14,High quality
P0A6B7,meso,48.63454029,95.11,High quality
P0A6D3,meso,51.81851284,97.27,High quality
P0A6E4,meso,44.17487445,95.47,High quality
P0A6E6,thermo,61.25961467,83.86,High quality
P0A6F1,meso,56.65124104,98.07,High quality
P0A6F3,meso,47.10138681,95.66,High quality
P0A6F5,meso,58.4176572,90.65,High quality
P0A6F9,meso,49.66768808,88.81,High quality
P0A6G7,meso,58.10443705,92.75,High quality
P0A6I6,meso,58.38077518,95.33,High quality
P0A6J8,meso,47.66505513,94.84,High quality
P0A6K1,meso,51.01318268,94.96,High quality
P0A6K6,meso,58.34057418,96.95,High quality
P0A6L0,meso,46.80036216,96.96,High quality
P0A6L2,thermo,65.33536177,98.29,High quality
P0A6M4,meso,55.39967043,98.01,High quality
P0A6M8,meso,58.57547491,86.85,High quality
P0A6N4,meso,42.41540349,92.87,High quality
P0A6N8,meso,43.47173006,93.59,High quality
